model,accuracy,f1_macro,f1_weighted,nb_labels_predits
mistral_instruct_B,0.4798,0.3766,0.5605,6
mistral_base_B,0.5862,0.3205,0.5746,4
mistral_instruct_A,0.3084,0.3139,0.2639,6
mistral_base_A,0.4995,0.2729,0.4624,6
meditron_A,0.6483,0.2305,0.5587,2
meditron_B,0.6305,0.228,0.5505,2
llama_base_A,0.2296,0.1563,0.1983,3
llama_instruct_A,0.2897,0.1371,0.1378,4
BASELINE_Majority,0.4768,0.1076,0.3079,1
llama_base_B,0.3084,0.106,0.1753,3
biomistral_A,0.2956,0.0941,0.1516,3
llama_instruct_B,0.2916,0.0921,0.1352,2
biomistral_B,0.2887,0.0747,0.1293,1
BASELINE_AlwaysNEI,0.2887,0.0747,0.1293,1
