model,n_NA_modele,n_NA_expert,ratio_NA,n_NEI_modele,n_NEI_expert,ratio_NEI
biomistral_A,0,55,0.0,997,293,3.4027303754266214
biomistral_B,0,55,0.0,1015,293,3.464163822525597
llama_base_A,0,55,0.0,458,293,1.5631399317406143
llama_base_B,4,55,0.07272727272727272,987,293,3.368600682593857
llama_instruct_A,0,55,0.0,993,293,3.3890784982935154
llama_instruct_B,3,55,0.05454545454545454,1012,293,3.453924914675768
meditron_A,0,55,0.0,357,293,1.2184300341296928
meditron_B,0,55,0.0,413,293,1.4095563139931742
mistral_base_A,6,55,0.10909090909090909,8,293,0.027303754266211604
mistral_base_B,7,55,0.12727272727272726,458,293,1.5631399317406143
mistral_instruct_A,90,55,1.6363636363636365,481,293,1.6416382252559727
mistral_instruct_B,53,55,0.9636363636363636,225,293,0.7679180887372014
