model,quartile,n,accuracy,ece
biomistral_A,Q1 (court),254,0.2125984251968504,0.2317986288877923
biomistral_A,Q2,263,0.2661596958174905,0.17346649931410874
biomistral_A,Q3,251,0.2908366533864542,0.15399348771429633
biomistral_A,Q4 (long),246,0.4186991869918699,0.056453345631196236
biomistral_B,Q1 (court),254,0.1968503937007874,0.28720436919861897
biomistral_B,Q2,263,0.2585551330798479,0.21836720435338328
biomistral_B,Q3,251,0.2868525896414343,0.2006493006569456
biomistral_B,Q4 (long),246,0.4186991869918699,0.08457907283209203
llama_base_A,Q1 (court),254,0.21653543307086615,0.1282887215924075
llama_base_A,Q2,263,0.20532319391634982,0.14417206334523827
llama_base_A,Q3,251,0.24302788844621515,0.11295174543126174
llama_base_A,Q4 (long),246,0.25609756097560976,0.10832130388031162
llama_base_B,Q1 (court),254,0.24015748031496062,0.17776997985802298
llama_base_B,Q2,263,0.27756653992395436,0.17725505835656427
llama_base_B,Q3,251,0.30278884462151395,0.16761963063502214
llama_base_B,Q4 (long),246,0.4186991869918699,0.1034896299848712
llama_instruct_A,Q1 (court),254,0.2047244094488189,0.5719256999455098
llama_instruct_A,Q2,263,0.2623574144486692,0.5362502549537689
llama_instruct_A,Q3,251,0.2788844621513944,0.5242468132915725
llama_instruct_A,Q4 (long),246,0.4186991869918699,0.4075523534925973
llama_instruct_B,Q1 (court),254,0.20866141732283464,0.6503042542324291
llama_instruct_B,Q2,263,0.2585551330798479,0.628715733838172
llama_instruct_B,Q3,251,0.2868525896414343,0.6170704635490933
llama_instruct_B,Q4 (long),246,0.4186991869918699,0.5052840363203995
meditron_A,Q1 (court),254,0.5708661417322834,0.1427287712810546
meditron_A,Q2,263,0.6615969581749049,0.1952725442643401
meditron_A,Q3,251,0.6653386454183267,0.19746550110231836
meditron_A,Q4 (long),246,0.6951219512195121,0.2260616502868451
meditron_B,Q1 (court),254,0.531496062992126,0.25975771412605375
meditron_B,Q2,263,0.6425855513307985,0.26212377647936563
meditron_B,Q3,251,0.6573705179282868,0.26585804501852667
meditron_B,Q4 (long),246,0.6910569105691057,0.2093691680489517
mistral_base_A,Q1 (court),254,0.562992125984252,0.19068277996825425
mistral_base_A,Q2,263,0.5285171102661597,0.1528882997344202
mistral_base_A,Q3,251,0.5219123505976095,0.15215484020244555
mistral_base_A,Q4 (long),246,0.3780487804878049,0.09372100997261885
mistral_base_B,Q1 (court),254,0.547244094488189,0.155910425181464
mistral_base_B,Q2,263,0.6045627376425855,0.20935528212627078
mistral_base_B,Q3,251,0.5936254980079682,0.19573222534115098
mistral_base_B,Q4 (long),246,0.6016260162601627,0.19705404692549044
mistral_instruct_A,Q1 (court),254,0.3661417322834646,0.2569937010215023
mistral_instruct_A,Q2,263,0.3269961977186312,0.303912747495528
mistral_instruct_A,Q3,251,0.2868525896414343,0.35850320441789363
mistral_instruct_A,Q4 (long),246,0.25203252032520324,0.3701015478227197
mistral_instruct_B,Q1 (court),254,0.5118110236220472,0.21673936379237435
mistral_instruct_B,Q2,263,0.4448669201520912,0.3041899487546188
mistral_instruct_B,Q3,251,0.49800796812749004,0.23633723097493448
mistral_instruct_B,Q4 (long),246,0.4634146341463415,0.30451515922701455
