model,f1_100,f1_80,f1_50,delta_80_vs_100,h4_supportee
biomistral_A,0.09412706813472667,0.07974835557739021,0.08284023668639053,-0.014378712557336457,False
biomistral_B,0.07466870540265036,0.07481693728112067,0.07637835103692463,0.00014823187847030905,False
llama_base_A,0.1562897063491062,0.16683809038985883,0.19129632536710198,0.010548384040752645,False
llama_base_B,0.10598909676809466,0.10262562394335273,0.12204382233200677,-0.0033634728247419338,False
llama_instruct_A,0.13706575804559376,0.08013719987527283,0.10804597701149425,-0.05692855817032093,False
llama_instruct_B,0.09208173690932313,0.08155038759689923,0.09211775878442545,-0.010531349312423902,False
meditron_A,0.2305033903632853,0.23669626440739758,0.2537761567933982,0.006192874044112284,False
meditron_B,0.22799402473232155,0.23448590299684544,0.24518292611677825,0.0064918782645238815,False
mistral_base_A,0.2729102038437443,0.2976364203762879,0.30816042254073245,0.024726216532543588,True
mistral_base_B,0.32048810461400823,0.343918206303959,0.4031496602509866,0.023430101689950744,True
mistral_instruct_A,0.3139471250127349,0.3357088091885306,0.3779439529262443,0.02176168417579566,True
mistral_instruct_B,0.3766110611569848,0.3953787417929781,0.4324764640513827,0.018767680635993322,False
