model,f1_macro,ece,calibration_quality,diversity,composite_score
mistral_instruct_B,0.3766,0.253,0.747,0.8422,0.2369
mistral_instruct_A,0.3139,0.3222,0.6778,0.8118,0.1727
mistral_base_A,0.2729,0.1332,0.8668,0.686,0.1623
mistral_base_B,0.3205,0.189,0.811,0.577,0.15
llama_base_A,0.1563,0.1241,0.8759,0.525,0.0719
meditron_A,0.2305,0.1816,0.8184,0.3619,0.0683
meditron_B,0.228,0.2313,0.7687,0.3771,0.0661
llama_base_B,0.106,0.1506,0.8494,0.0768,0.0069
llama_instruct_A,0.1371,0.5104,0.4896,0.0662,0.0044
biomistral_A,0.0941,0.1553,0.8447,0.055,0.0044
llama_instruct_B,0.0921,0.6016,0.3984,0.0113,0.0004
biomistral_B,0.0747,0.1944,0.8056,0.0,0.0
