model,n_cas_tranche,accuracy_force,ece_force,f1_macro_force,max_prop_label,acc_inclusion,acc_exclusion
mistral_instruct_A,667,0.6657,0.1844,0.5434,0.4558,0.7977,0.6194
mistral_base_B,667,0.9325,0.1812,0.5151,0.7406,0.7977,0.9798
mistral_base_A,667,0.7451,0.1714,0.4917,0.5412,0.8092,0.7227
mistral_instruct_B,667,0.5652,0.3141,0.4906,0.3733,0.7168,0.5121
llama_base_B,667,0.8471,0.0792,0.4604,0.7406,0.4682,0.9798
llama_instruct_B,667,0.8216,0.1149,0.429,0.7406,0.3699,0.9798
biomistral_B,667,0.7991,0.1728,0.3915,0.7391,0.289,0.9777
biomistral_A,667,0.7376,0.1225,0.3088,0.7151,0.1445,0.9453
meditron_B,667,0.7601,0.1844,0.3061,0.7406,0.1329,0.9798
meditron_A,667,0.7601,0.3392,0.3061,0.7406,0.1329,0.9798
llama_base_A,667,0.2624,0.3668,0.292,0.7151,0.8555,0.0547
llama_instruct_A,667,0.2024,0.4798,0.2688,0.6627,0.4451,0.1174
